,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
262,Cam Atkinson,20192020,CBJ,R,R,44,12,14,26,2,6,0.59,9,18,3,8,0,0,1,2,148,8.1,17:51,47.4
263,Jakob Chychrun,20192020,ARI,L,D,63,12,14,26,4,38,0.41,7,18,5,8,0,0,0,2,149,8.1,22:26,--
264,Andreas Athanasiou,20192020,DET,L,L,55,11,15,26,-46,30,0.47,8,19,3,7,0,0,0,2,129,8.5,15:51,41.8
265,Ivan Barbashev,20192020,STL,L,C,69,11,15,26,4,23,0.38,9,23,0,0,2,3,0,2,75,14.7,13:27,45.4
266,Chandler Stephenson,20192020,WSH,L,C,65,11,15,26,24,16,0.4,8,21,1,2,2,3,1,5,73,15.1,14:19,45.3
267,Kailer Yamamoto,20192020,EDM,R,R,27,11,15,26,17,12,0.96,9,24,2,2,0,0,0,0,44,25,17:23,100
268,Danton Heinen,20192020,BOS,L,L,67,10,16,26,-2,10,0.39,7,20,3,6,0,0,0,2,109,9.2,14:28,38.5
269,Alex Nylander,20192020,CHI,R,L,65,10,16,26,-2,10,0.4,10,24,0,2,0,0,0,1,94,10.6,12:08,26.3
270,Andrew Copp,20192020,WPG,L,C,63,10,16,26,-3,10,0.41,9,22,1,1,0,3,0,5,121,8.3,17:42,53
271,Ilya Kovalchuk,20192020,LAK,R,L,46,10,16,26,-4,18,0.57,8,21,2,5,0,0,2,3,115,8.7,16:58,33.3
272,Ryan Graves,20192020,COL,L,D,69,9,17,26,40,45,0.38,9,24,0,0,0,2,0,0,134,6.7,18:57,--
